vertex_id,degree,cluster_id,Q_C_final,Q_D_final,clustering_coefficient,betweenness_centrality,eigenvector_centrality
0,2,0,18.788063049316406,20.777969360351562,0.0,0.2222222222222222,0.3162277660168384
1,2,0,18.726200103759766,20.72391700744629,0.0,0.2222222222222222,0.3162277660168385
2,2,0,18.765716552734375,20.785930633544922,0.0,0.2222222222222222,0.31622776601683816
3,2,0,18.732582092285156,20.745609283447266,0.0,0.2222222222222222,0.31622776601683816
4,2,0,18.738056182861328,20.74630355834961,0.0,0.2222222222222222,0.3162277660168381
5,2,0,18.774250030517578,20.792877197265625,0.0,0.2222222222222222,0.3162277660168377
6,2,0,18.694931030273438,20.707134246826172,0.0,0.2222222222222222,0.3162277660168375
7,2,0,18.75587272644043,20.767379760742188,0.0,0.2222222222222222,0.3162277660168375
8,2,0,18.746904373168945,20.75617218017578,0.0,0.2222222222222222,0.31622776601683755
9,2,0,18.7313232421875,20.721878051757812,0.0,0.2222222222222222,0.316227766016838
