vertex_id,degree,cluster_id,Q_C_final,Q_D_final,clustering_coefficient,betweenness_centrality,eigenvector_centrality
0,4,0,0.09864766895771027,19.99751853942871,0.0,0.36485754655397507,0.2958575758122984
1,3,1,0.18250000476837158,19.997209548950195,0.0,0.1657942397738316,0.2033450930067741
2,3,2,0.22036278247833252,19.997283935546875,0.0,0.12574453843586497,0.15095670463460162
3,3,2,0.21680612862110138,19.997224807739258,0.0,0.09377306839041537,0.11793722940406423
4,3,2,0.21488678455352783,19.997217178344727,0.0,0.06662019244927404,0.09711023295777746
5,3,2,0.21054035425186157,19.997215270996094,0.0,0.042656092018336915,0.08549409242265994
6,3,2,0.21607303619384766,19.99718475341797,0.0,0.031601670249629434,0.08175364741533846
7,3,2,0.21706005930900574,19.997196197509766,0.0,0.042656092018336936,0.08549409242265993
8,3,2,0.220605731010437,19.997129440307617,0.0,0.06662019244927411,0.0971102329577775
9,3,2,0.21829451620578766,19.997241973876953,0.0,0.09377306839041534,0.11793722940406409
10,3,2,0.22230933606624603,19.99720573425293,0.0,0.125744538435865,0.15095670463460156
11,3,1,0.1873329132795334,19.997203826904297,0.0,0.16579423977383162,0.20334509300677406
12,4,0,0.10318577289581299,19.997364044189453,0.0,0.3648575465539751,0.29585757581229855
13,3,1,0.18915824592113495,19.997236251831055,0.0,0.17723576263117083,0.2022998077044188
14,3,2,0.21500751376152039,19.997207641601562,0.0,0.13927384265394468,0.14877111934949083
15,3,2,0.2165127396583557,19.997234344482422,0.0,0.10940196424890303,0.11441260314272708
16,3,2,0.21368780732154846,19.997249603271484,0.0,0.08436993845157109,0.09192571973862665
17,3,2,0.2192847728729248,19.9971923828125,0.0,0.06255567703271785,0.0781763553419908
18,3,2,0.21164032816886902,19.99718475341797,0.0,0.04768859022685553,0.07162912631966349
19,3,2,0.21761947870254517,19.997169494628906,0.0,0.044168175928380016,0.0716097113589589
20,3,2,0.21858248114585876,19.997188568115234,0.0,0.05413172664448176,0.07807751644724874
21,3,2,0.2157401442527771,19.99721336364746,0.0,0.0708625676100166,0.0915407983745864
22,3,2,0.21653856337070465,19.99724578857422,0.0,0.08519892805607093,0.11293678167670763
23,3,2,0.21525336802005768,19.997224807739258,0.0,0.09615518646130891,0.14311865807072563
24,3,2,0.21833863854408264,19.99729347229004,0.0,0.1020920760078923,0.18065218748098202
25,3,1,0.18563860654830933,19.997257232666016,0.0,0.11888497462477053,0.21295260002685473
26,3,2,0.22045081853866577,19.99725914001465,0.0,0.09985729501035621,0.1816974353038552
27,3,2,0.2167479395866394,19.997196197509766,0.0,0.09240605152594947,0.14530409003243006
28,3,2,0.21913929283618927,19.99724006652832,0.0,0.07995669768628955,0.11646081819255878
29,3,2,0.21338631212711334,19.997236251831055,0.0,0.06415623067408782,0.0967230523494699
30,3,2,0.21348190307617188,19.997196197509766,0.0,0.05030915324282672,0.08538660101582803
31,3,2,0.21392004191875458,19.997215270996094,0.0,0.04532858958879367,0.08170109546195044
32,3,2,0.21844737231731415,19.997167587280273,0.0,0.05030915324282672,0.0853866010158279
33,3,2,0.215734601020813,19.997249603271484,0.0,0.06415623067408785,0.09672305234946996
34,3,2,0.21683382987976074,19.99716567993164,0.0,0.07995669768628952,0.11646081819255878
35,3,2,0.2202787697315216,19.997196197509766,0.0,0.09240605152594945,0.14530409003243003
36,3,2,0.22490179538726807,19.997209548950195,0.0,0.09985729501035624,0.18169743530385526
37,3,1,0.18708005547523499,19.997234344482422,0.0,0.11888497462477052,0.2129526000268548
38,3,2,0.22151264548301697,19.997180938720703,0.0,0.10209207600789233,0.18065218748098213
39,3,2,0.21723446249961853,19.99728012084961,0.0,0.0961551864613089,0.1431186580707256
40,3,2,0.215569406747818,19.997238159179688,0.0,0.08519892805607092,0.11293678167670769
41,3,2,0.21883228421211243,19.99723243713379,0.0,0.07086256761001658,0.09154079837458642
42,3,2,0.21167060732841492,19.997222900390625,0.0,0.05413172664448174,0.0780775164472488
43,3,2,0.21673814952373505,19.99718475341797,0.0,0.04416817592838001,0.07160971135895886
44,3,2,0.21663758158683777,19.997119903564453,0.0,0.04768859022685554,0.0716291263196634
45,3,2,0.21763251721858978,19.997203826904297,0.0,0.06255567703271783,0.0781763553419908
46,3,2,0.21381589770317078,19.997217178344727,0.0,0.08436993845157109,0.0919257197386266
47,3,2,0.21348334848880768,19.997220993041992,0.0,0.10940196424890303,0.11441260314272707
48,3,2,0.21505247056484222,19.99730682373047,0.0,0.13927384265394466,0.148771119349491
49,3,1,0.18679939210414886,19.99722671508789,0.0,0.1772357626311708,0.20229980770441897
