vertex_id,degree,cluster_id,Q_C_final,Q_D_final,clustering_coefficient,betweenness_centrality,eigenvector_centrality
0,5,0,-0.058847106993198395,19.997570037841797,0.3,0.280395433027012,0.2918157464168407
1,4,1,-0.03379342705011368,19.99738121032715,0.5,0.09108883319409634,0.23137580406871958
2,4,1,-0.035862088203430176,19.997385025024414,0.5,0.0875243664717349,0.2255231756475981
3,4,2,-0.019308006390929222,19.997425079345703,0.5,0.06248955722639934,0.20719613204489098
4,4,2,-0.015627574175596237,19.997325897216797,0.5,0.04359509885825674,0.2013435036237697
5,4,2,-0.01793808862566948,19.99734878540039,0.5,0.04494569757727652,0.19777196981932701
6,4,2,-0.01712229661643505,19.997411727905273,0.5,0.04359509885825675,0.2013435036237703
7,4,2,-0.015539582818746567,19.997419357299805,0.5,0.062489557226399324,0.2071961320448909
8,4,1,-0.03760286420583725,19.997364044189453,0.5,0.0875243664717349,0.22552317564759758
9,4,1,-0.03698545694351196,19.99734878540039,0.5,0.09108883319409633,0.23137580406871885
10,5,0,-0.05958437919616699,19.997697830200195,0.3,0.2803954330270119,0.2918157464168412
11,4,1,-0.03132758289575577,19.997417449951172,0.5,0.09108883319409634,0.23137580406871922
12,4,-1,-0.04097350314259529,19.997360229492188,0.5,0.0875243664717349,0.2255231756475979
13,4,2,-0.017879502847790718,19.99740982055664,0.5,0.06248955722639932,0.20719613204489107
14,4,-1,-0.011774815618991852,19.997386932373047,0.5,0.04359509885825675,0.20134350362376954
15,4,2,-0.017172155901789665,19.99741554260254,0.5,0.04494569757727651,0.19777196981932713
16,4,2,-0.016333337873220444,19.99744415283203,0.5,0.04359509885825675,0.20134350362377035
17,4,2,-0.016935648396611214,19.997417449951172,0.5,0.06248955722639934,0.20719613204489093
18,4,1,-0.03273847699165344,19.99742889404297,0.5,0.08752436647173487,0.2255231756475981
19,4,1,-0.03470015525817871,19.997406005859375,0.5,0.09108883319409634,0.23137580406871863
