vertex_id,degree,cluster_id,Q_C_final,Q_D_final,clustering_coefficient,betweenness_centrality,eigenvector_centrality
0,3,0,-1.43257474899292,1.5696345567703247,0.0,0.4473684210526315,0.46369506624040185
1,2,1,-0.6679737567901611,1.3338227272033691,0.0,0.24269005847953215,0.28817572999308727
2,2,2,-0.525838315486908,1.4759044647216797,0.0,0.19005847953216373,0.18266972981444926
3,2,2,-0.5274115204811096,1.4772943258285522,0.0,0.13742690058479531,0.12154400129637252
4,2,2,-0.527114987373352,1.475932240486145,0.0,0.0847953216374269,0.08994782757494295
5,2,2,-0.5250456929206848,1.4754035472869873,0.0,0.05847953216374269,0.0802048039463516
6,2,2,-0.5264978408813477,1.4753673076629639,0.0,0.0847953216374269,0.08994782757494287
7,2,2,-0.5264602899551392,1.4766442775726318,0.0,0.13742690058479531,0.12154400129637212
8,2,2,-0.5263959169387817,1.475571870803833,0.0,0.19005847953216373,0.18266972981444932
9,2,1,-0.6688276529312134,1.3317350149154663,0.0,0.24269005847953215,0.2881757299930867
10,3,0,-1.4332356452941895,1.5721837282180786,0.0,0.4473684210526315,0.46369506624040213
11,2,1,-0.6698013544082642,1.3313193321228027,0.0,0.24269005847953215,0.28817572999308777
12,2,2,-0.5268004536628723,1.476645588874817,0.0,0.19005847953216373,0.18266972981445123
13,2,2,-0.5272268056869507,1.475243330001831,0.0,0.13742690058479531,0.12154400129637546
14,2,2,-0.525792121887207,1.47818922996521,0.0,0.0847953216374269,0.08994782757494682
15,2,2,-0.5254874229431152,1.476758599281311,0.0,0.05847953216374269,0.0802048039463557
16,2,2,-0.5250076055526733,1.478095293045044,0.0,0.0847953216374269,0.08994782757494667
17,2,2,-0.5258296728134155,1.476523518562317,0.0,0.13742690058479531,0.12154400129637558
18,2,2,-0.5257641673088074,1.4764127731323242,0.0,0.19005847953216373,0.18266972981445143
19,2,1,-0.6699533462524414,1.332101583480835,0.0,0.24269005847953215,0.2881757299930883
