vertex_id,degree,cluster_id,Q_C_final,Q_D_final,clustering_coefficient,betweenness_centrality,eigenvector_centrality
0,6,0,-0.08678040653467178,19.9979248046875,0.3333333333333333,0.11256377591264019,0.22552929874636102
1,5,-1,-0.0810723751783371,19.997636795043945,0.4,0.027957650206924284,0.19795366327135178
2,5,-1,-0.07473284006118774,19.997642517089844,0.4,0.027957650206924284,0.19795366327135155
3,6,0,-0.08687266707420349,19.99789047241211,0.3333333333333333,0.11256377591264016,0.22552929874636052
4,5,1,-0.06179980933666229,19.99764060974121,0.3,0.04728221365813672,0.17793986680431959
5,5,2,-0.05880236625671387,19.997623443603516,0.3,0.08310102705332204,0.1663715536919567
6,5,3,-0.03417528420686722,19.997636795043945,0.3,0.05557065614033902,0.14808402197787002
7,5,3,-0.032822586596012115,19.997676849365234,0.3,0.069326478384375,0.13667373569210967
8,5,3,-0.03941426798701286,19.997657775878906,0.3,0.05894814781033388,0.12620865387152752
9,5,3,-0.041668735444545746,19.997663497924805,0.3,0.0628618794089703,0.11821776700092185
10,5,3,-0.032827965915203094,19.997804641723633,0.3,0.05993659751032737,0.11175500649606655
11,5,3,-0.03892016410827637,19.99762725830078,0.3,0.0600763909940197,0.1069155987867564
12,5,3,-0.038268037140369415,19.997676849365234,0.3,0.059850765409338195,0.10349988039473691
13,5,3,-0.03681933507323265,19.997676849365234,0.3,0.05904039726222706,0.10147443912167185
14,5,3,-0.03772737458348274,19.9976863861084,0.3,0.059594429005773476,0.1007851882332097
15,5,-1,-0.04795721173286438,19.997697830200195,0.3,0.05899960981852857,0.10141892356514243
16,5,3,-0.035427335649728775,19.9976749420166,0.3,0.05993331336673846,0.10336854875198198
17,5,3,-0.036002255976200104,19.99772834777832,0.3,0.05952227013382254,0.1066546744635776
18,5,3,-0.03608977794647217,19.99770736694336,0.3,0.060244880899048184,0.11127482874436166
19,5,3,-0.0413142628967762,19.997642517089844,0.3,0.06010070945479792,0.11730210470344289
20,5,3,-0.03769177943468094,19.9976806640625,0.3,0.05957479476689942,0.12460396055713528
21,5,3,-0.034006811678409576,19.997821807861328,0.3,0.06043856386857868,0.1334654032619957
22,5,3,-0.03671838343143463,19.997777938842773,0.3,0.05733417524525336,0.14295461494472916
23,5,3,-0.03384775295853615,19.9976863861084,0.3,0.059870706776084796,0.15456055175923708
24,5,3,-0.03482167050242424,19.997713088989258,0.3,0.05304496427033507,0.1634504781290625
25,5,2,-0.05603640899062157,19.997665405273438,0.3,0.05659681406335489,0.17671449667765704
26,5,3,-0.03009457141160965,19.997772216796875,0.3,0.04715736000840214,0.175820668196804
27,5,3,-0.038185156881809235,19.99773597717285,0.3,0.04715736000840215,0.17582066819680392
28,5,2,-0.0577126145362854,19.99761962890625,0.3,0.0565968140633549,0.17671449667765654
29,5,3,-0.033128537237644196,19.997695922851562,0.3,0.05304496427033508,0.1634504781290616
30,5,3,-0.038271479308605194,19.99770164489746,0.3,0.05987070677608477,0.15456055175923597
31,5,3,-0.035815030336380005,19.997631072998047,0.3,0.05733417524525336,0.14295461494472808
32,5,3,-0.03701687231659889,19.99763298034668,0.3,0.060438563868578696,0.13346540326199458
33,5,3,-0.03807937353849411,19.997777938842773,0.3,0.05957479476689942,0.12460396055713426
34,5,3,-0.034793153405189514,19.99777603149414,0.3,0.06010070945479794,0.11730210470344199
35,5,3,-0.038221679627895355,19.997665405273438,0.3,0.0602448808990482,0.11127482874436098
36,5,3,-0.036445923149585724,19.997726440429688,0.3,0.059522270133822525,0.10665467446357713
37,5,3,-0.034132324159145355,19.997791290283203,0.3,0.059933313366738496,0.10336854875198162
38,5,3,-0.03943641483783722,19.997678756713867,0.3,0.05899960981852857,0.10141892356514223
39,5,3,-0.038699645549058914,19.997684478759766,0.3,0.05959442900577345,0.10078518823320988
40,5,3,-0.03434521704912186,19.997692108154297,0.3,0.05904039726222709,0.10147443912167207
41,5,3,-0.03708864748477936,19.997745513916016,0.3,0.05985076540933818,0.10349988039473727
42,5,3,-0.042322978377342224,19.997638702392578,0.3,0.0600763909940197,0.10691559878675683
43,5,3,-0.03983499854803085,19.99771499633789,0.3,0.05993659751032737,0.11175500649606716
44,5,3,-0.03643291816115379,19.99774932861328,0.3,0.0628618794089703,0.11821776700092264
45,5,3,-0.03565899282693863,19.9976863861084,0.3,0.05894814781033388,0.1262086538715285
46,5,3,-0.03680078685283661,19.997722625732422,0.3,0.069326478384375,0.1366737356921107
47,5,3,-0.033116500824689865,19.997718811035156,0.3,0.05557065614033902,0.14808402197787102
48,5,1,-0.06216138228774071,19.997716903686523,0.3,0.08310102705332202,0.16637155369195766
49,5,-1,-0.05219069868326187,19.99772071838379,0.3,0.04728221365813672,0.1779398668043203
