vertex_id,degree,cluster_id,Q_C_final,Q_D_final,clustering_coefficient,betweenness_centrality,eigenvector_centrality
0,2,0,0.09056585282087326,2.078887701034546,0.0,0.2222222222222222,0.31622776601683633
1,2,0,0.07973609864711761,2.0694103240966797,0.0,0.2222222222222222,0.3162277660168363
2,2,0,0.07735849916934967,2.090524673461914,0.0,0.2222222222222222,0.31622776601683716
3,2,0,0.07777724415063858,2.0830612182617188,0.0,0.2222222222222222,0.316227766016838
4,2,0,0.08457866311073303,2.0881524085998535,0.0,0.2222222222222222,0.3162277660168391
5,2,0,0.07219107449054718,2.084796905517578,0.0,0.2222222222222222,0.316227766016839
6,2,0,0.0721992701292038,2.079517364501953,0.0,0.2222222222222222,0.31622776601683905
7,2,0,0.07241389900445938,2.073543071746826,0.0,0.2222222222222222,0.316227766016839
8,2,0,0.07394535094499588,2.08209228515625,0.0,0.2222222222222222,0.3162277660168385
9,2,0,0.07799512147903442,2.0693671703338623,0.0,0.2222222222222222,0.3162277660168372
