vertex_id,degree,cluster_id,Q_C_final,Q_D_final,clustering_coefficient,betweenness_centrality,eigenvector_centrality
0,4,0,-2.850501537322998,1.151432991027832,0.0,0.36485754655397507,0.29585757581229855
1,3,1,-1.8965513706207275,1.1048331260681152,0.0,0.1657942397738316,0.20334509300677434
2,3,1,-1.865038514137268,1.137467622756958,0.0,0.12574453843586497,0.15095670463460178
3,3,1,-1.8642010688781738,1.137397050857544,0.0,0.09377306839041537,0.11793722940406427
4,3,1,-1.864105463027954,1.1371018886566162,0.0,0.06662019244927404,0.09711023295777753
5,3,1,-1.863150954246521,1.1384499073028564,0.0,0.042656092018336915,0.0854940924226599
6,3,1,-1.8629393577575684,1.1387882232666016,0.0,0.031601670249629434,0.08175364741533843
7,3,1,-1.8630969524383545,1.1380248069763184,0.0,0.042656092018336936,0.08549409242265986
8,3,1,-1.8637763261795044,1.1381876468658447,0.0,0.06662019244927411,0.09711023295777739
9,3,1,-1.8638213872909546,1.1381853818893433,0.0,0.09377306839041534,0.1179372294040642
10,3,1,-1.8632144927978516,1.1373703479766846,0.0,0.125744538435865,0.15095670463460167
11,3,1,-1.895646333694458,1.1050963401794434,0.0,0.16579423977383162,0.20334509300677425
12,4,0,-2.8515682220458984,1.15089750289917,0.0,0.3648575465539751,0.2958575758122987
13,3,1,-1.895653486251831,1.1059415340423584,0.0,0.17723576263117083,0.2022998077044189
14,3,1,-1.8633954524993896,1.1380420923233032,0.0,0.13927384265394468,0.14877111934949092
15,3,1,-1.8641223907470703,1.1388708353042603,0.0,0.10940196424890303,0.11441260314272678
16,3,1,-1.8638511896133423,1.1376190185546875,0.0,0.08436993845157109,0.09192571973862622
17,3,1,-1.862297773361206,1.1381337642669678,0.0,0.06255567703271785,0.07817635534199016
18,3,1,-1.8628249168395996,1.1382899284362793,0.0,0.04768859022685553,0.07162912631966283
19,3,1,-1.86269211769104,1.137909173965454,0.0,0.044168175928380016,0.07160971135895838
20,3,1,-1.862739086151123,1.1377813816070557,0.0,0.05413172664448176,0.07807751644724857
21,3,1,-1.8643670082092285,1.1378700733184814,0.0,0.0708625676100166,0.09154079837458644
22,3,1,-1.8642094135284424,1.1387403011322021,0.0,0.08519892805607093,0.11293678167670784
23,3,1,-1.8642120361328125,1.1373765468597412,0.0,0.09615518646130891,0.14311865807072585
24,3,1,-1.8638715744018555,1.1379127502441406,0.0,0.1020920760078923,0.18065218748098222
25,3,1,-1.8961631059646606,1.1047894954681396,0.0,0.11888497462477053,0.2129526000268549
26,3,1,-1.8643537759780884,1.1384177207946777,0.0,0.09985729501035621,0.1816974353038555
27,3,1,-1.8631131649017334,1.1369869709014893,0.0,0.09240605152594947,0.14530409003243014
28,3,1,-1.8628747463226318,1.1373569965362549,0.0,0.07995669768628955,0.1164608181925589
29,3,1,-1.8640730381011963,1.1383198499679565,0.0,0.06415623067408782,0.09672305234946998
30,3,1,-1.8627376556396484,1.1385610103607178,0.0,0.05030915324282672,0.08538660101582796
31,3,1,-1.861541509628296,1.1382718086242676,0.0,0.04532858958879367,0.08170109546195048
32,3,1,-1.8632550239562988,1.139254093170166,0.0,0.05030915324282672,0.08538660101582789
33,3,1,-1.8640130758285522,1.1387346982955933,0.0,0.06415623067408785,0.09672305234946987
34,3,1,-1.8633193969726562,1.1380984783172607,0.0,0.07995669768628952,0.11646081819255874
35,3,1,-1.8627731800079346,1.1381034851074219,0.0,0.09240605152594945,0.14530409003243006
36,3,1,-1.862499475479126,1.1369602680206299,0.0,0.09985729501035624,0.18169743530385526
37,3,1,-1.895561933517456,1.1053380966186523,0.0,0.11888497462477052,0.21295260002685482
38,3,1,-1.8641698360443115,1.1380407810211182,0.0,0.10209207600789233,0.18065218748098208
39,3,1,-1.8645095825195312,1.1384721994400024,0.0,0.0961551864613089,0.14311865807072552
40,3,1,-1.8636071681976318,1.137986660003662,0.0,0.08519892805607092,0.11293678167670743
41,3,1,-1.8640004396438599,1.1381275653839111,0.0,0.07086256761001658,0.09154079837458602
42,3,1,-1.863547682762146,1.1383438110351562,0.0,0.05413172664448174,0.07807751644724809
43,3,1,-1.864122748374939,1.1377480030059814,0.0,0.04416817592838001,0.07160971135895833
44,3,1,-1.863358974456787,1.1386072635650635,0.0,0.04768859022685554,0.07162912631966296
45,3,1,-1.8628675937652588,1.137967824935913,0.0,0.06255567703271783,0.07817635534199056
46,3,1,-1.8643264770507812,1.1389429569244385,0.0,0.08436993845157109,0.09192571973862679
47,3,1,-1.8625648021697998,1.1374962329864502,0.0,0.10940196424890303,0.11441260314272726
48,3,1,-1.8617535829544067,1.1381056308746338,0.0,0.13927384265394466,0.14877111934949117
49,3,1,-1.8956166505813599,1.1048786640167236,0.0,0.1772357626311708,0.2022998077044191
