vertex_id,degree,cluster_id,Q_C_final,Q_D_final,clustering_coefficient,betweenness_centrality,eigenvector_centrality
0,5,0,-0.07344582676887512,99.93408966064453,0.3,0.280395433027012,0.29181574641684144
1,4,1,-0.06154241785407066,99.93408966064453,0.5,0.09108883319409634,0.2313758040687193
2,4,1,-0.06132744625210762,99.93408966064453,0.5,0.0875243664717349,0.22552317564759788
3,4,2,-0.04831759259104729,99.93408966064453,0.5,0.06248955722639934,0.207196132044891
4,4,2,-0.04896768182516098,99.93408966064453,0.5,0.04359509885825674,0.20134350362377004
5,4,2,-0.04968231916427612,99.93408966064453,0.5,0.04494569757727652,0.19777196981932668
6,4,2,-0.04806506633758545,99.93408966064453,0.5,0.04359509885825675,0.20134350362376968
7,4,2,-0.04923466965556145,99.93408966064453,0.5,0.062489557226399324,0.20719613204489076
8,4,1,-0.06295213103294373,99.93408966064453,0.5,0.0875243664717349,0.22552317564759775
9,4,3,-0.06548436731100082,99.93408966064453,0.5,0.09108883319409633,0.23137580406871874
10,5,0,-0.07240284234285355,99.93408966064453,0.3,0.2803954330270119,0.2918157464168407
11,4,1,-0.05883914232254028,99.93408966064453,0.5,0.09108883319409634,0.23137580406871883
12,4,3,-0.06648236513137817,99.93408966064453,0.5,0.0875243664717349,0.22552317564759772
13,4,2,-0.0489693284034729,99.93408966064453,0.5,0.06248955722639932,0.2071961320448913
14,4,2,-0.04568898677825928,99.93408966064453,0.5,0.04359509885825675,0.2013435036237702
15,4,2,-0.0471176914870739,99.93408966064453,0.5,0.04494569757727651,0.19777196981932688
16,4,2,-0.047371458262205124,99.93408966064453,0.5,0.04359509885825675,0.20134350362377035
17,4,2,-0.04916049912571907,99.93408966064453,0.5,0.06248955722639934,0.20719613204489165
18,4,1,-0.05956500396132469,99.93408966064453,0.5,0.08752436647173487,0.225523175647598
19,4,1,-0.0625753402709961,99.93408966064453,0.5,0.09108883319409634,0.23137580406871916
