vertex_id,degree,cluster_id,Q_C_final,Q_D_final,clustering_coefficient,betweenness_centrality,eigenvector_centrality
0,5,-1,-0.06740723550319672,99.93408966064453,0.3,0.37537401266554216,0.24605679835698385
1,4,0,-0.052497267723083496,99.93408966064453,0.5,0.09217721074754208,0.19328659298240078
2,4,0,-0.05285211652517319,99.93408966064453,0.5,0.16515599347437734,0.18471301405688195
3,4,1,-0.030684489756822586,99.93408966064453,0.5,0.09318475278125261,0.1630951543838344
4,4,1,-0.03585713356733322,99.93408966064453,0.5,0.12574614607407558,0.14979747273563584
5,4,1,-0.03519003093242645,99.93408966064453,0.5,0.08573276020746945,0.13640110999554889
6,4,1,-0.03677681088447571,99.93408966064453,0.5,0.09455726563198585,0.1258346594053483
7,4,1,-0.0351419635117054,99.93408966064453,0.5,0.07318243861954087,0.11676052477158941
8,4,1,-0.03521360456943512,99.93408966064453,0.5,0.06837996233157521,0.10949727603095903
9,4,1,-0.04016214236617088,99.93408966064453,0.5,0.05722201381283563,0.1037693046099195
10,4,1,-0.03751154989004135,99.93408966064453,0.5,0.04567589356307262,0.09955858476687636
11,4,1,-0.03645218908786774,99.93408966064453,0.5,0.04131702854683982,0.09677976412023279
12,4,1,-0.03651388734579086,99.93408966064453,0.5,0.03452234420319235,0.09540182461027222
13,4,1,-0.03746411204338074,99.93408966064453,0.5,0.03452234420319235,0.0954018246102721
14,4,1,-0.037210822105407715,99.93408966064453,0.5,0.041317028546839815,0.09677976412023247
15,4,1,-0.0363033302128315,99.93408966064453,0.5,0.045675893563072625,0.09955858476687592
16,4,1,-0.038996703922748566,99.93408966064453,0.5,0.05722201381283566,0.1037693046099191
17,4,1,-0.04059074446558952,99.93408966064453,0.5,0.06837996233157521,0.10949727603095864
18,4,1,-0.03871864080429077,99.93408966064453,0.5,0.07318243861954088,0.1167605247715892
19,4,1,-0.03847479820251465,99.93408966064453,0.5,0.09455726563198587,0.12583465940534827
20,4,1,-0.03868922218680382,99.93408966064453,0.5,0.08573276020746945,0.13640110999554889
21,4,1,-0.036776382476091385,99.93408966064453,0.5,0.12574614607407564,0.149797472735636
22,4,1,-0.03224371373653412,99.93408966064453,0.5,0.09318475278125261,0.16309515438383468
23,4,2,-0.056416869163513184,99.93408966064453,0.5,0.16515599347437732,0.18471301405688223
24,4,3,-0.050570592284202576,99.93408966064453,0.5,0.0921772107475421,0.1932865929824012
25,5,-1,-0.06396840512752533,99.93408966064453,0.3,0.37537401266554216,0.2460567983569844
26,4,2,-0.05590484291315079,99.93408966064453,0.5,0.0921772107475421,0.1932865929824014
27,4,0,-0.0523480661213398,99.93408966064453,0.5,0.16515599347437726,0.18471301405688276
28,4,1,-0.03326673060655594,99.93408966064453,0.5,0.09318475278125268,0.16309515438383532
29,4,1,-0.03897888958454132,99.93408966064453,0.5,0.1257461460740756,0.14979747273563684
30,4,1,-0.03702092915773392,99.93408966064453,0.5,0.08573276020746944,0.13640110999554989
31,4,1,-0.037356361746788025,99.93408966064453,0.5,0.09455726563198585,0.1258346594053494
32,4,1,-0.03663100302219391,99.93408966064453,0.5,0.07318243861954088,0.11676052477159042
33,4,1,-0.03973054140806198,99.93408966064453,0.5,0.06837996233157521,0.10949727603095993
34,4,1,-0.03474491462111473,99.93408966064453,0.5,0.05722201381283561,0.10376930460992036
35,4,1,-0.0356602780520916,99.93408966064453,0.5,0.04567589356307262,0.09955858476687716
36,4,1,-0.03594055026769638,99.93408966064453,0.5,0.04131702854683982,0.09677976412023383
37,4,1,-0.03608633950352669,99.93408966064453,0.5,0.03452234420319235,0.09540182461027329
38,4,1,-0.03570999950170517,99.93408966064453,0.5,0.03452234420319235,0.09540182461027343
39,4,1,-0.03633000701665878,99.93408966064453,0.5,0.04131702854683983,0.09677976412023385
40,4,1,-0.033991739153862,99.93408966064453,0.5,0.04567589356307262,0.09955858476687734
41,4,1,-0.03585566580295563,99.93408966064453,0.5,0.05722201381283564,0.10376930460992052
42,4,1,-0.034982629120349884,99.93408966064453,0.5,0.06837996233157526,0.10949727603096009
43,4,1,-0.03736282140016556,99.93408966064453,0.5,0.07318243861954088,0.11676052477159041
44,4,1,-0.036646414548158646,99.93408966064453,0.5,0.09455726563198585,0.12583465940534938
45,4,1,-0.03587662801146507,99.93408966064453,0.5,0.08573276020746944,0.13640110999554964
46,4,1,-0.031429097056388855,99.93408966064453,0.5,0.12574614607407564,0.14979747273563657
47,4,1,-0.03711245581507683,99.93408966064453,0.5,0.09318475278125268,0.163095154383835
48,4,3,-0.050118762999773026,99.93408966064453,0.5,0.1651559934743773,0.18471301405688237
49,4,3,-0.050124503672122955,99.93408966064453,0.5,0.09217721074754208,0.19328659298240097
