vertex_id,degree,cluster_id,Q_C_final,Q_D_final,clustering_coefficient,betweenness_centrality,eigenvector_centrality
0,6,0,-0.012294195592403412,10.001441955566406,0.3333333333333333,0.0831523252575884,0.2780639884853605
1,5,-1,0.015054753050208092,10.001371383666992,0.4,0.03957115009746589,0.24172834344289165
2,5,-1,0.00947951152920723,10.001370429992676,0.4,0.03957115009746588,0.24172834344289218
3,6,0,-0.010874465107917786,10.001445770263672,0.3333333333333333,0.08315232525758841,0.27806398848536046
4,5,1,0.044938117265701294,10.001405715942383,0.3,0.05644667223614591,0.2252415697492361
5,5,2,0.034462638199329376,10.001344680786133,0.3,0.05815928710665553,0.21874296072528382
6,5,3,0.05403612554073334,10.001331329345703,0.3,0.054998607630186575,0.206725479417787
7,5,3,0.06381964683532715,10.001398086547852,0.3,0.05488721804511278,0.20445784504165548
8,5,3,0.06275998055934906,10.001394271850586,0.3,0.05538847117794486,0.20655187102689784
9,5,3,0.06517909467220306,10.001380920410156,0.3,0.05712893344472292,0.2090848502231844
10,5,1,0.04085962474346161,10.001409530639648,0.3,0.05742133110554162,0.21955122660230333
11,5,3,0.061058834195137024,10.001460075378418,0.3,0.0530214424951267,0.21574117204250665
12,5,3,0.0689801499247551,10.001431465148926,0.3,0.05302144249512669,0.21574117204250645
13,5,2,0.030985482037067413,10.00143051147461,0.3,0.05742133110554162,0.21955122660230378
14,5,3,0.06064404547214508,10.001394271850586,0.3,0.057128933444722904,0.2090848502231848
15,5,3,0.05588693171739578,10.001420974731445,0.3,0.05538847117794485,0.20655187102689831
16,5,3,0.06347194314002991,10.001396179199219,0.3,0.05488721804511277,0.2044578450416555
17,5,3,0.06174623221158981,10.001359939575195,0.3,0.05499860763018657,0.20672547941778663
18,5,2,0.028421808034181595,10.001351356506348,0.3,0.05815928710665553,0.21874296072528343
19,5,2,0.03522196039557457,10.00137996673584,0.3,0.05644667223614591,0.22524156974923565
