vertex_id,degree,cluster_id,Q_C_final,Q_D_final,clustering_coefficient,betweenness_centrality,eigenvector_centrality
0,6,0,-0.08886399865150452,19.997846603393555,0.3333333333333333,0.0831523252575884,0.2780639884853604
1,5,1,-0.08000564575195312,19.997703552246094,0.4,0.03957115009746589,0.24172834344289176
2,5,1,-0.08119481801986694,19.997642517089844,0.4,0.03957115009746588,0.24172834344289196
3,6,0,-0.08981076627969742,19.99789810180664,0.3333333333333333,0.08315232525758841,0.27806398848536057
4,5,2,-0.052724502980709076,19.997705459594727,0.3,0.05644667223614591,0.22524156974923568
5,5,2,-0.05830641835927963,19.997722625732422,0.3,0.05815928710665553,0.2187429607252834
6,5,3,-0.04079451039433479,19.997631072998047,0.3,0.054998607630186575,0.20672547941778685
7,5,3,-0.036720264703035355,19.99767303466797,0.3,0.05488721804511278,0.20445784504165537
8,5,3,-0.034729961305856705,19.997684478759766,0.3,0.05538847117794486,0.20655187102689804
9,5,3,-0.03405217453837395,19.99768829345703,0.3,0.05712893344472292,0.2090848502231845
10,5,2,-0.05769669637084007,19.997699737548828,0.3,0.05742133110554162,0.21955122660230353
11,5,3,-0.037979379296302795,19.997711181640625,0.3,0.0530214424951267,0.21574117204250678
12,5,3,-0.03178909420967102,19.9976806640625,0.3,0.05302144249512669,0.21574117204250665
13,5,-1,-0.06294228136539459,19.997661590576172,0.3,0.05742133110554162,0.21955122660230353
14,5,3,-0.03693398833274841,19.997661590576172,0.3,0.057128933444722904,0.2090848502231847
15,5,3,-0.04029550403356552,19.997638702392578,0.3,0.05538847117794485,0.2065518710268982
16,5,3,-0.033817991614341736,19.997623443603516,0.3,0.05488721804511277,0.2044578450416555
17,5,3,-0.03405090793967247,19.99765968322754,0.3,0.05499860763018657,0.20672547941778682
18,5,-1,-0.0675973892211914,19.99762535095215,0.3,0.05815928710665553,0.2187429607252834
19,5,2,-0.05580589920282364,19.997638702392578,0.3,0.05644667223614591,0.2252415697492359
