vertex_id,degree,cluster_id,Q_C_final,Q_D_final,clustering_coefficient,betweenness_centrality,eigenvector_centrality
0,6,0,-0.048627324402332306,99.93721771240234,0.3333333333333333,0.0831523252575884,0.27806398848536024
1,5,1,-0.04061631113290787,99.93684387207031,0.4,0.03957115009746589,0.24172834344289196
2,5,1,-0.041432276368141174,99.936767578125,0.4,0.03957115009746588,0.24172834344289212
3,6,0,-0.04890032112598419,99.9374008178711,0.3333333333333333,0.08315232525758841,0.27806398848536057
4,5,2,-0.014134721830487251,99.93679809570312,0.3,0.05644667223614591,0.2252415697492359
5,5,2,-0.017271775752305984,99.93692016601562,0.3,0.05815928710665553,0.21874296072528357
6,5,3,0.00033267668914049864,99.93678283691406,0.3,0.054998607630186575,0.20672547941778693
7,5,3,0.005871045868843794,99.93685913085938,0.3,0.05488721804511278,0.20445784504165557
8,5,3,0.004215179476886988,99.93670654296875,0.3,0.05538847117794486,0.20655187102689815
9,5,3,0.007693898864090443,99.93683624267578,0.3,0.05712893344472292,0.2090848502231846
10,5,2,-0.018762098625302315,99.93677520751953,0.3,0.05742133110554162,0.21955122660230364
11,5,3,1.4675897546112537e-06,99.9367904663086,0.3,0.0530214424951267,0.21574117204250629
12,5,3,0.004956544376909733,99.93675994873047,0.3,0.05302144249512669,0.21574117204250645
13,5,2,-0.018742408603429794,99.93678283691406,0.3,0.05742133110554162,0.21955122660230356
14,5,3,0.001098305219784379,99.93682098388672,0.3,0.057128933444722904,0.2090848502231843
15,5,3,-7.614865899085999e-05,99.93678283691406,0.3,0.05538847117794485,0.2065518710268981
16,5,3,0.0012912792153656483,99.93672180175781,0.3,0.05488721804511277,0.20445784504165565
17,5,3,0.006079512648284435,99.9367446899414,0.3,0.05499860763018657,0.20672547941778674
18,5,-1,-0.030785396695137024,99.93678283691406,0.3,0.05815928710665553,0.21874296072528343
19,5,2,-0.014602458104491234,99.93669128417969,0.3,0.05644667223614591,0.22524156974923598
