graph,mode,b,agent_id,agent_role,degree,n_replications,p_mean,ci_lower,ci_upper,std,se
star_graph,state,1.2,0,Hub,4.0,40,0.024654999375343323,0.02395000122487545,0.025405000895261765,0.00233580288477242,0.0003693228640536339
star_graph,state,1.2,1,Leaf,1.0,40,0.02516999840736389,0.024630000814795494,0.02569499984383583,0.0016849628882482648,0.00026641602498601386
star_graph,state,1.2,2,Leaf,1.0,40,0.02556000091135502,0.024870002642273903,0.026269998401403427,0.0022778059355914593,0.00036015274121599025
star_graph,state,1.2,3,Leaf,1.0,40,0.02496499940752983,0.024309998378157616,0.025624999776482582,0.0021189088001847267,0.00033502889813791725
star_graph,state,1.2,4,Leaf,1.0,40,0.02480500005185604,0.024240000173449516,0.02542012371122837,0.0018619814654812217,0.00029440511959694235
star_graph,state,1.5,0,Hub,4.0,40,0.024654999375343323,0.023934874683618546,0.02538999915122986,0.00233580288477242,0.0003693228640536339
star_graph,state,1.5,1,Leaf,1.0,40,0.02516999840736389,0.024630000814795494,0.025699999183416367,0.0016849628882482648,0.00026641602498601386
star_graph,state,1.5,2,Leaf,1.0,40,0.02556000091135502,0.024889875203371048,0.026284998282790184,0.0022778059355914593,0.00036015274121599025
star_graph,state,1.5,3,Leaf,1.0,40,0.02496499940752983,0.024320000782608986,0.02565000019967556,0.0021189088001847267,0.00033502889813791725
star_graph,state,1.5,4,Leaf,1.0,40,0.02480500005185604,0.024229999631643295,0.025370001792907715,0.0018619814654812217,0.00029440511959694235
star_graph,state,2.0,0,Hub,4.0,40,0.024654999375343323,0.023889999836683273,0.0253749992698431,0.00233580288477242,0.0003693228640536339
star_graph,state,2.0,1,Leaf,1.0,40,0.02516999840736389,0.024654999375343323,0.02567499876022339,0.0016849628882482648,0.00026641602498601386
star_graph,state,2.0,2,Leaf,1.0,40,0.02556000091135502,0.02488499879837036,0.026259999722242355,0.0022778059355914593,0.00036015274121599025
star_graph,state,2.0,3,Leaf,1.0,40,0.02496499940752983,0.024325000122189522,0.025620127096772194,0.0021189088001847267,0.00033502889813791725
star_graph,state,2.0,4,Leaf,1.0,40,0.02480500005185604,0.024229874834418297,0.025380128994584084,0.0018619814654812217,0.00029440511959694235
star_graph,state,3.0,0,Hub,4.0,40,0.024654999375343323,0.023959873244166374,0.025384997949004173,0.00233580288477242,0.0003693228640536339
star_graph,state,3.0,1,Leaf,1.0,40,0.02519499883055687,0.024660000577569008,0.025699999183416367,0.001673611463047564,0.00026462120706985143
star_graph,state,3.0,2,Leaf,1.0,40,0.025575000792741776,0.02484999969601631,0.02626512572169304,0.002268562326207757,0.00035869119824332005
star_graph,state,3.0,3,Leaf,1.0,40,0.02498999983072281,0.024334875866770744,0.02565012499690056,0.002119410317391157,0.00033510819497082153
star_graph,state,3.0,4,Leaf,1.0,40,0.024825001135468483,0.024240000173449516,0.025419998914003372,0.0018634309526532888,0.0002946343036420888
star_graph,state,5.0,0,Hub,4.0,40,0.024654999375343323,0.02395000122487545,0.025405125692486763,0.00233580288477242,0.0003693228640536339
star_graph,state,5.0,1,Leaf,1.0,40,0.02623000182211399,0.025679999962449074,0.026774998754262924,0.0017643978353589773,0.000278975792920257
star_graph,state,5.0,2,Leaf,1.0,40,0.02655000053346157,0.025805000215768814,0.027375126257538795,0.0025138615164905787,0.000397476405717758
star_graph,state,5.0,3,Leaf,1.0,40,0.025919999927282333,0.02520499750971794,0.026650000363588333,0.0023823517840355635,0.0003766828912658973
star_graph,state,5.0,4,Leaf,1.0,40,0.025954997166991234,0.025325000286102295,0.026570122689008713,0.001994235208258033,0.0003153162724097806
star_graph,stateless,1.2,0,Hub,4.0,40,0.024654999375343323,0.023945000022649765,0.0254100002348423,0.00233580288477242,0.0003693228640536339
star_graph,stateless,1.2,1,Leaf,1.0,40,0.02516999840736389,0.02464500069618225,0.02568500116467476,0.0016849628882482648,0.00026641602498601386
star_graph,stateless,1.2,2,Leaf,1.0,40,0.02556000091135502,0.024854999035596848,0.02626512572169304,0.0022778059355914593,0.00036015274121599025
star_graph,stateless,1.2,3,Leaf,1.0,40,0.02496499940752983,0.024335000663995743,0.02559012733399868,0.0021189088001847267,0.00033502889813791725
star_graph,stateless,1.2,4,Leaf,1.0,40,0.02480500005185604,0.024220000952482224,0.025380000472068787,0.0018619814654812217,0.00029440511959694235
star_graph,stateless,1.5,0,Hub,4.0,40,0.024654999375343323,0.023925000801682472,0.025384997949004173,0.00233580288477242,0.0003693228640536339
star_graph,stateless,1.5,1,Leaf,1.0,40,0.02516999840736389,0.024644874036312103,0.025689998641610146,0.0016849628882482648,0.00026641602498601386
star_graph,stateless,1.5,2,Leaf,1.0,40,0.02556000091135502,0.024865001440048218,0.02624499797821045,0.0022778059355914593,0.00036015274121599025
star_graph,stateless,1.5,3,Leaf,1.0,40,0.02496499940752983,0.024325000122189522,0.025624999776482582,0.0021189088001847267,0.00033502889813791725
star_graph,stateless,1.5,4,Leaf,1.0,40,0.02480500005185604,0.024234876036643982,0.0253749992698431,0.0018619814654812217,0.00029440511959694235
star_graph,stateless,2.0,0,Hub,4.0,40,0.024654999375343323,0.023934999480843544,0.025385001674294472,0.00233580288477242,0.0003693228640536339
star_graph,stateless,2.0,1,Leaf,1.0,40,0.02516999840736389,0.024629998952150345,0.025669997557997704,0.0016849628882482648,0.00026641602498601386
star_graph,stateless,2.0,2,Leaf,1.0,40,0.02556000091135502,0.02485487423837185,0.026245001703500748,0.0022778059355914593,0.00036015274121599025
star_graph,stateless,2.0,3,Leaf,1.0,40,0.02496499940752983,0.024335000663995743,0.0256351251155138,0.0021189088001847267,0.00033502889813791725
star_graph,stateless,2.0,4,Leaf,1.0,40,0.02480500005185604,0.024220000952482224,0.025380000472068787,0.0018619814654812217,0.00029440511959694235
star_graph,stateless,3.0,0,Hub,4.0,40,0.024654999375343323,0.02394000068306923,0.025395000353455544,0.00233580288477242,0.0003693228640536339
star_graph,stateless,3.0,1,Leaf,1.0,40,0.025180000811815262,0.024665001779794693,0.025690000504255295,0.0016803571488708258,0.0002656877936489222
star_graph,stateless,3.0,2,Leaf,1.0,40,0.02556000091135502,0.02484999969601631,0.02625500038266182,0.0022778059355914593,0.00036015274121599025
star_graph,stateless,3.0,3,Leaf,1.0,40,0.024979999288916588,0.024299999698996544,0.025634998455643654,0.00211697886697948,0.0003347237489048888
