vertex_id,degree,cluster_id,Q_C_final,Q_D_final,clustering_coefficient,betweenness_centrality,eigenvector_centrality
0,3,0,-1.9241831302642822,1.0774284601211548,0.0,0.47987528344671193,0.4728443700329807
1,2,1,-0.9596481323242188,1.0409510135650635,0.0,0.2857142857142857,0.29223515241311165
2,2,1,-0.9292747974395752,1.0727983713150024,0.0,0.2653061224489796,0.18061485405495295
3,2,1,-0.9291873574256897,1.0717328786849976,0.0,0.24489795918367346,0.1116329018402049
4,2,1,-0.9291304349899292,1.0722720623016357,0.0,0.22448979591836735,0.06900449808946003
5,2,1,-0.9293690919876099,1.0715762376785278,0.0,0.20408163265306123,0.04266621449735691
6,2,1,-0.9302468299865723,1.0712950229644775,0.0,0.18367346938775508,0.026400285318661322
7,2,1,-0.9301877021789551,1.0713814496994019,0.0,0.16326530612244897,0.01636675883791558
8,2,1,-0.9294976592063904,1.070932149887085,0.0,0.14285714285714285,0.010196987263864452
9,2,1,-0.9295104742050171,1.071925163269043,0.0,0.12244897959183673,0.006434452208933062
10,2,1,-0.9296029806137085,1.0716004371643066,0.0,0.10204081632653061,0.004190919574723108
11,2,1,-0.9295446872711182,1.0722756385803223,0.0,0.08163265306122448,0.002936751189767474
12,2,1,-0.9295943379402161,1.0725369453430176,0.0,0.06618480725623582,0.002375871374135965
13,2,1,-0.9298276305198669,1.0713846683502197,0.0,0.06618480725623582,0.002375871374136133
14,2,1,-0.9297116994857788,1.0720378160476685,0.0,0.08163265306122448,0.002936751189767739
15,2,1,-0.9294275045394897,1.071797490119934,0.0,0.10204081632653061,0.00419091957472313
16,2,1,-0.9296190738677979,1.0717694759368896,0.0,0.12244897959183673,0.006434452208932753
17,2,1,-0.9296472668647766,1.072649359703064,0.0,0.14285714285714285,0.01019698726386399
18,2,1,-0.9295306205749512,1.0718841552734375,0.0,0.16326530612244897,0.016366758837915395
19,2,1,-0.9297149181365967,1.0726394653320312,0.0,0.18367346938775508,0.026400285318661725
20,2,1,-0.9294397234916687,1.0719001293182373,0.0,0.20408163265306123,0.042666214497357545
21,2,1,-0.9289801716804504,1.0725829601287842,0.0,0.22448979591836735,0.06900449808946033
22,2,1,-0.9292499423027039,1.0720608234405518,0.0,0.24489795918367346,0.11163290184020484
23,2,1,-0.9285862445831299,1.0723344087600708,0.0,0.2653061224489796,0.18061485405495287
24,2,1,-0.9592798948287964,1.0407994985580444,0.0,0.2857142857142857,0.2922351524131117
25,3,0,-1.924209713935852,1.0769490003585815,0.0,0.47987528344671193,0.47284437003298074
26,2,1,-0.9602460265159607,1.0411045551300049,0.0,0.2857142857142857,0.2922351524131116
27,2,1,-0.9300235509872437,1.0712683200836182,0.0,0.2653061224489796,0.1806148540549527
28,2,1,-0.9295442700386047,1.0725531578063965,0.0,0.24489795918367346,0.11163290184020477
29,2,1,-0.9293183088302612,1.0706532001495361,0.0,0.22448979591836735,0.06900449808946037
30,2,1,-0.9296208620071411,1.0725305080413818,0.0,0.20408163265306123,0.0426662144973576
31,2,1,-0.9298266172409058,1.0714287757873535,0.0,0.18367346938775508,0.02640028531866207
32,2,1,-0.9295148849487305,1.0723800659179688,0.0,0.16326530612244897,0.016366758837916218
33,2,1,-0.9289016127586365,1.0725760459899902,0.0,0.14285714285714285,0.010196987263864974
34,2,1,-0.9294264316558838,1.0719256401062012,0.0,0.12244897959183673,0.0064344522089338435
35,2,1,-0.9297501444816589,1.072594165802002,0.0,0.10204081632653061,0.004190919574724127
36,2,1,-0.9299556016921997,1.0721246004104614,0.0,0.08163265306122448,0.002936751189768547
37,2,1,-0.9303878545761108,1.071955680847168,0.0,0.06618480725623582,0.0023758713741369513
38,2,1,-0.9300675988197327,1.072383999824524,0.0,0.06618480725623582,0.0023758713741368095
39,2,1,-0.9296040534973145,1.0716209411621094,0.0,0.08163265306122448,0.0029367511897681105
40,2,1,-0.928942859172821,1.0720562934875488,0.0,0.10204081632653061,0.004190919574723661
41,2,1,-0.9289541244506836,1.0710227489471436,0.0,0.12244897959183673,0.006434452208933389
42,2,1,-0.928967297077179,1.0719739198684692,0.0,0.14285714285714285,0.010196987263864555
43,2,1,-0.9293885231018066,1.0713796615600586,0.0,0.16326530612244897,0.016366758837915975
44,2,1,-0.929436445236206,1.07172429561615,0.0,0.18367346938775508,0.026400285318662044
45,2,1,-0.9296401143074036,1.0718553066253662,0.0,0.20408163265306123,0.042666214497357746
46,2,1,-0.9301089644432068,1.0716168880462646,0.0,0.22448979591836735,0.06900449808946073
47,2,1,-0.9292599558830261,1.071616291999817,0.0,0.24489795918367346,0.11163290184020529
48,2,1,-0.928573727607727,1.072194218635559,0.0,0.2653061224489796,0.18061485405495306
49,2,1,-0.9597197771072388,1.040502667427063,0.0,0.2857142857142857,0.292235152413112
